,Name,Address,Suburb,Postcode,State,Business Category,LGA,Region,long,lat
0,Ararat Seasonal Farmers' Market,Lakeside Gardens,Ararat,3377.0,VIC,Fresh Food Market,Ararat (RC),Grampians Region,142.95691599999998,-37.231524
1,Bairnsdale Farmers Market,Secondary College Oval,Bairnsdale,3875.0,VIC,Fresh Food Market,East Gippsland,Gippsland,147.561112,-37.670456
2,Ballarat Lakeside Farmers' Market,Wendouree Parade,Wendouree,3355.0,VIC,Fresh Food Market,Ballarat (C),Grampians Region,143.82561,-37.530285
3,Bendigo Farmers' Market,Bendigo Showgrounds,Bendigo,3550.0,VIC,Fresh Food Market,Greater Bendigo (C),Loddon-Mallee Region,144.285267,-36.764269
4,Big Sams St Albans Market,3 St Albans Road,St Albans,3021.0,VIC,Fresh Food Market,Brimbank (C),North and West Metropolitan Region,144.796693,-37.743361
5,Boroondara Farmers' Market,Patterson Reserve,Hawthorn East,3123.0,VIC,Fresh Food Market,Boroondara (C),Eastern Metropolitan Region,145.04941499999998,-37.829752
6,Bundoora Park Farmers' Market,Bundoora Park,Preston,3072.0,VIC,Fresh Food Market,Darebin (C),North and West Metropolitan Region,145.005702,-37.742470000000004
7,Buninyong Farmers Market,Buninyong Town Hall (May to Dec),Buninyong,3357.0,VIC,Fresh Food Market,Ballarat (C),Grampians Region,143.88341599999998,-37.653945
8,Camberwell Fresh Food Market,Camberwell Junction,Camberwell,3124.0,VIC,Fresh Food Market,Boroondara (C),Eastern Metropolitan Region,145.06819099999998,-37.840866999999996
9,Cardinia Ranges Farmers Market,Pakenham Racecourse,Pakenham,3810.0,VIC,Fresh Food Market,Cardinia (S),Southern Metropolitan Region,145.472514,-38.04658
10,Casey Farmers' Market,Old Cheese Factory,Berwick,3806.0,VIC,Fresh Food Market,Casey (C),Southern Metropolitan Region,145.34948799999998,-38.025017999999996
11,Central Geelong Farmers' Market,Little Malop Street,Geelong,3220.0,VIC,Fresh Food Market,Greater Geelong (C),Barwon South Western Region,144.34652,-38.157038
12,Central Murray Farmers Market,Altona Reserve,Echuca,3564.0,VIC,Fresh Food Market,Campaspe (S),Loddon-Mallee Region,144.6014151,-36.18096611
13,Churchill Island Farmers' Market,Visitor Centre,Churchill Island,3925.0,VIC,Fresh Food Market,Bass Coast (S),Gippsland Region,145.379683,-38.528213
14,City of Kingston Farmers' Market,Sir William Fry Reserve,Highett,3190.0,VIC,Fresh Food Market,Kingston (C); Bayside (C),Southern Metropolitan Region,145.038147,-37.951394
15,Collingwood Farmers' Market,Collingwood Children's Farm,Abbotsford,3067.0,VIC,Fresh Food Market,Yarra (C),North and West Metropolitan Region,144.998203,-37.803515000000004
16,Dandenong Market,Cleeland Street,Dandenong,3175.0,VIC,Fresh Food Market,Greater Dandenong (C),Southern Metropolitan Region,145.208504,-38.016114
